hos_event_id,hos_home,hos_home_id,hos_home_cid,hos_away,hos_away_id,hos_away_cid
dce33365-f083-40a7-ba39-1314af4ea7a8,Saint Louis Billikens,42a6c4d3-fe1c-4ccf-a1a9-4adaa636348a,42a6c4d3-fe1c-4ccf-a1a9-4adaa636348a,Loyola Chicago Ramblers,3f6b5c38-08f2-48dd-b310-f2617ae5f58b,3f6b5c38-08f2-48dd-b310-f2617ae5f58b
f14b22ad-93df-418c-936a-5021abc5929e,DePaul Blue Demons,5baaf6cd-318d-42c1-97f3-5334e62faa02,5baaf6cd-318d-42c1-97f3-5334e62faa02,Villanova Wildcats,f7eec5d7-392e-4ba1-8929-6329358fbb15,f7eec5d7-392e-4ba1-8929-6329358fbb15
dd044158-030e-405e-bf63-b1d1465c34b9,Northwestern Wildcats,98321eb6-2bb9-4134-8a4b-946f619f0a1b,98321eb6-2bb9-4134-8a4b-946f619f0a1b,Purdue Boilermakers,6699975a-c6e9-43d0-96ba-35f73733a44e,6699975a-c6e9-43d0-96ba-35f73733a44e
5fbae028-74bf-4aa9-a55b-9ce4a68587f2,Houston Cougars,bd92b79d-46a5-4514-8424-c6412bddfe23,bd92b79d-46a5-4514-8424-c6412bddfe23,Baylor Bears,6d24d297-f1d3-43ee-a5ae-1214449f2f8a,6d24d297-f1d3-43ee-a5ae-1214449f2f8a
7969ca92-e391-4d48-8211-e2b9f54925b5,Notre Dame Fighting Irish,74fbf7cd-9d46-414a-b447-c79fc21657a7,74fbf7cd-9d46-414a-b447-c79fc21657a7,Stanford Cardinal,23f8e392-70bf-4be9-a893-0ded14cea9ce,23f8e392-70bf-4be9-a893-0ded14cea9ce
891e9b8d-7f41-4d36-b79a-e7f139a9ab9f,Pittsburgh Panthers,1ba5a540-ca59-486b-b31c-988c85bb220c,1ba5a540-ca59-486b-b31c-988c85bb220c,Florida State Seminoles,8fac84c9-a29a-4e50-93c6-e68a142af638,8fac84c9-a29a-4e50-93c6-e68a142af638
6743facc-baf9-4c06-a122-0e367bfe0fcc,New Mexico Lobos,fceebafd-38cd-492f-bbc6-1776bae8d182,fceebafd-38cd-492f-bbc6-1776bae8d182,Colorado State Rams,57eb6932-7fb3-4844-9d3c-a0285dc33fdc,57eb6932-7fb3-4844-9d3c-a0285dc33fdc
bd539c05-09f8-47f5-b71f-b27abc2b86e1,Washington Huskies,35c14b48-992f-431d-ba54-a78e20f55fd4,35c14b48-992f-431d-ba54-a78e20f55fd4,USC Trojans,b0996cd6-3f62-4a8f-898c-5c8c157ee971,b0996cd6-3f62-4a8f-898c-5c8c157ee971
fa1ea20f-ed72-49fb-9a4c-fca40ee8b87c,North Carolina Central Eagles,aa1fd907-3583-4f82-b1e1-a570f291b099,aa1fd907-3583-4f82-b1e1-a570f291b099,South Carolina State Bulldogs,c2894bb8-e929-4efb-9d82-6335d40df709,c2894bb8-e929-4efb-9d82-6335d40df709
11d2b737-49f7-4f89-aa8a-a819d10dc974,East Carolina Pirates,baafbf73-9dfc-4289-bcfe-14daf9782478,baafbf73-9dfc-4289-bcfe-14daf9782478,Tulsa Golden Hurricane,fbfe6ad5-e414-45cd-83a8-99b305e121fe,fbfe6ad5-e414-45cd-83a8-99b305e121fe
36492b56-7e50-44aa-b2d6-f242a2fa4640,Liberty Flames,f9b22171-31de-4c20-bb33-04d790417627,f9b22171-31de-4c20-bb33-04d790417627,Louisiana Tech Bulldogs,fab3fedd-48e2-4804-a531-a1c445f12e22,fab3fedd-48e2-4804-a531-a1c445f12e22
3d2ca588-e27f-42ab-872e-e8b4b470836c,Delaware Fightin' Blue Hens,7cc5db4f-549c-4b33-85bb-17aa4e2e6275,7cc5db4f-549c-4b33-85bb-17aa4e2e6275,Sam Houston State Bearkats,7599fe4d-d5b3-479e-a2db-7a62a206795d,7599fe4d-d5b3-479e-a2db-7a62a206795d
74408e22-d715-46fd-8d96-ecf16a0f7185,Norfolk State Spartans,99e3821b-5d4a-48e8-835c-439510ba1f9c,99e3821b-5d4a-48e8-835c-439510ba1f9c,Howard Bison,239b5289-af83-48c5-a124-a338c0cc2309,239b5289-af83-48c5-a124-a338c0cc2309
